Supplier,TIV_2022
United States,14515
France,3021
Russia,2820
China,2017
Italy,1825
Germany,1510
United Kingdom,1504
Spain,950
Israel,831
Poland,452
Turkiye,398
Netherlands,295
South Korea,209
Switzerland,175
Canada,171
Iran,123
Belgium,121
Czechia,116
Norway,88
Slovakia,71
Sweden,68
Denmark,67
Belarus,57
Jordan,51
Ukraine,50
South Africa,48
Ireland,46
Egypt,41
unknown supplier(s),40
Slovenia,38
Australia,33
North Macedonia,31
Finland,29
Lithuania,29
Morocco,21
New Zealand,20
Bulgaria,18
Austria,14
Japan,13
UAE,12
India,11
Latvia,10
Greece,7
Estonia,6
Brazil,6
Croatia,4
Nigeria,3
Portugal,2